season,team_abbr,team,team_display_source,bye_week,final_result,points_for,points_against,venue,opponent,owner_username,pts,rost_pct,def_td,kr_td,st_td,ff,int,pt_allow,sack,tkl,fum_rec,qb_hit,source_start_line,source_final_line,source_team_lines,metric_source_lines
2025,PHI,Philadelphia Eagles,Philadelphia Eagles,10,W,24,20,vs,DAL,jfoulkrod,147,,1,,,12,12,323,42,1009,9,105,3,Final W 24-20 vs DAL,hia. Eagles | Philadelphia. Eagles,"7,8,9,10,11,12,13,14,15,16,17"
2025,BAL,Baltimore Ravens,Baltimore Ravens,13,L,40,41,@,BUF,Dbfoulkrod,110,,2,,,11,11,392,30,1030,8,101,20,Final L 40-41 @ BUF,Baltimore. Ravens | Baltimore. Ravens,"24,25,26,27,28,29,30,31,32,33,34"
2025,HOU,Houston Texans,Houston Texans,8,L,9,14,@,LAR,robfoulk,175,,4,,,12,19,295,47,938,8,95,37,Final L 9-14 @ LAR,Houston. Texans | Houston. Texans,"41,42,43,44,45,46,47,48,49,50,51"
2025,DEN,Denver Broncos,Denver Broncos,10,W,20,12,vs,TEN,jfoulkrod,151,,1,,,7,10,309,68,1014,3,164,54,Final W 20-12 vs TEN,Denver. Broncos | Denver. Broncos,"58,59,60,61,62,63,64,65,66,67,68"
2025,PIT,Pittsburgh Steelers,Pittsburgh Steelers,9,W,34,32,@,NYJ,Von937,145,,3,,,16,15,379,48,1085,10,112,71,Final W 34-32 @ NYJ,Pittsburgh. Steelers | Pittsburgh. Steelers,"75,76,77,78,79,80,81,82,83,84,85"
2025,MIN,Minnesota Vikings,Minnesota Vikings,6,W,27,24,@,CHI,asmartaleck1,153,,2,,,16,8,309,49,1088,13,98,88,Final W 27-24 @ CHI,Minnesota. Vikings | Minnesota. Vikings,"92,93,94,95,96,97,98,99,100,101,102"
2025,GB,Green Bay Packers,Green Bay Packers,11,W,27,13,vs,DET,,86,,,,,7,7,360,36,1075,6,105,105,Final W 27-13 vs DET,Green Bay. Packers | Green Bay. Packers,"108,109,110,111,112,113,114,115,116,117,118"
2025,BUF,Buffalo Bills,Buffalo Bills,7,W,41,40,vs,BAL,ebmookie,123,,2,,,12,13,365,36,897,7,92,121,Final W 41-40 vs BAL,Buffalo. Bills | Buffalo. Bills,"125,126,127,128,129,130,131,132,133,134,135"
2025,DET,Detroit Lions,Detroit Lions,6,L,13,27,@,GB,mafoulk,112,,,,,15,13,411,49,964,6,103,138,Final L 13-27 @ GB,Detroit. Lions,"142,143,144,145,146,147,148,149,150,151,152"
2025,KC,Kansas City Chiefs,Kansas City Chiefs,5,L,21,27,@,LAC,ebmookie,98,,,,,6,10,318,35,1002,3,103,155,Final L 21-27 @ LAC,Kansas City. Chiefs | Kansas City. Chiefs,"159,160,161,162,163,164,165,166,167,168,169"
2025,LAR,Los Angeles Rams,Los Angeles Rams,11,W,14,9,vs,HOU,ebmookie,147,,1,,,12,16,334,47,1044,9,117,172,Final W 14-9 vs HOU,Los Angeles. Rams | Los Angeles. Rams,"176,177,178,179,180,181,182,183,184,185,186"
2025,WAS,Washington Commanders,Washington Commanders,7,W,21,6,vs,NYG,,86,,,,,9,8,445,42,1083,1,94,189,Final W 21-6 vs NYG,Washington. Commanders | Washington. Commanders,"192,193,194,195,196,197,198,199,200,201,202"
2025,SF,San Francisco 49ers,San Francisco 49ers,8,W,17,13,@,SEA,Dbfoulkrod,89,,1,,,10,6,363,20,1019,8,58,205,Final W 17-13 @ SEA,San Francisco. 49ers | San Francisco. 49ers,"209,210,211,212,213,214,215,216,217,218,219"
2025,SEA,Seattle Seahawks,Seattle Seahawks,11,L,13,17,vs,SF,robfoulk,186,,3,,,7,18,286,47,1045,6,122,222,Final L 13-17 vs SF,Seattle. Seahawks | Seattle. Seahawks,"226,227,228,229,230,231,232,233,234,235,236"
2025,CLE,Cleveland Browns,Cleveland Browns,11,L,16,17,vs,CIN,Evenkeel75,146,,4,,,14,11,371,53,1029,5,113,241,Final L 16-17 vs CIN,* | Cleveland. Browns,"245,246,247,248,249,250,251,252,253,254,255"
2025,DAL,Dallas Cowboys,Dallas Cowboys,14,L,20,24,@,PHI,,69,,1,,,10,6,509,35,1023,5,108,259,Final L 20-24 @ PHI,* | Dallas. Cowboys,"262,263,264,265,266,267,268,269,270,271,272"
2025,JAX,Jacksonville Jaguars,Jacksonville Jaguars,7,W,26,10,vs,CAR,Evenkeel75,153,,2,,,8,22,324,32,963,7,95,275,Final W 26-10 vs CAR,Jacksonville. Jaguars | Jacksonville. Jaguars,"279,280,281,282,283,284,285,286,287,288,289"
2025,LV,Las Vegas Raiders,Las Vegas Raiders,13,W,20,13,@,NE,,85,,,,,10,8,424,37,1082,8,82,292,Final W 20-13 @ NE,Las Vegas. Raiders | Las Vegas. Raiders,"295,296,297,298,299,300,301,302,303,304,305"
2025,ATL,Atlanta Falcons,Atlanta Falcons,11,L,20,23,vs,TB,,131,,1,,,12,16,389,57,1014,5,97,308,Final L 20-23 vs TB,Atlanta. Falcons | Atlanta. Falcons,"311,312,313,314,315,316,317,318,319,320,321"
2025,CAR,Carolina Panthers,Carolina Panthers,5,L,10,26,@,JAX,Dbfoulkrod,110,,2,,,7,15,374,30,1039,4,58,324,Final L 10-26 @ JAX,Carolina. Panthers | Carolina. Panthers,"328,329,330,331,332,333,334,335,336,337,338"
2025,TEN,Tennessee Titans,Tennessee Titans,9,L,12,20,@,DEN,,85,,1,,,7,6,454,42,995,6,98,341,Final L 12-20 @ DEN,Tennessee. Titans | Tennessee. Titans,"344,345,346,347,348,349,350,351,352,353,354"
2025,NO,New Orleans Saints,New Orleans Saints,8,L,13,20,vs,ARI,asmartaleck1,130,,3,,,12,10,377,45,1049,10,84,357,Final L 13-20 vs ARI,New Orleans. Saints | New Orleans. Saints,"361,362,363,364,365,366,367,368,369,370,371"
2025,TB,Tampa Bay Buccaneers,Tampa Bay Buccaneers,10,W,23,20,@,ATL,Evenkeel75,110,,2,,,12,13,405,37,923,9,90,374,Final W 23-20 @ ATL,Tampa Bay. Buccaneers,"378,379,380,381,382,383,384,385,386,387,388"
2025,MIA,Miami Dolphins,Miami Dolphins,6,L,8,33,@,IND,,102,,,,,10,9,418,39,1057,9,79,391,Final L 8-33 @ IND,Miami. Dolphins | Miami. Dolphins,"394,395,396,397,398,399,400,401,402,403,404"
2025,NYG,New York Giants,New York Giants,8,L,6,21,@,WAS,Von937,87,,1,,,10,9,433,39,996,6,96,407,Final L 6-21 @ WAS,New York. Giants | New York. Giants,"411,412,413,414,415,416,417,418,419,420,421"
2025,CIN,Cincinnati Bengals,Cincinnati Bengals,6,W,17,16,@,CLE,,90,,1,,,11,13,436,35,1048,7,79,424,Final W 17-16 @ CLE,Cincinnati. Bengals | Cincinnati. Bengals,"427,428,429,430,431,432,433,434,435,436,437"
2025,NE,New England Patriots,New England Patriots,11,L,13,20,vs,LV,Von937,136,,2,,,9,10,314,35,964,8,88,440,Final L 13-20 vs LV,New England. Patriots | New England. Patriots,"444,445,446,447,448,449,450,451,452,453,454"
2025,IND,Indianapolis Colts,Indianapolis Colts,13,W,33,8,vs,MIA,Evenkeel75,109,,1,,,9,14,398,39,1049,7,98,456,Final W 33-8 vs MIA,Indianapolis. Colts,"460,461,462,463,464,465,466,467,468,469,470"
